/home/appuser/.local/lib/python3.14/site-packages/kopf/_core/reactor/running.py:179: FutureWarning: Absence of either namespaces or cluster-wide flag will become an error soon. For now, switching to the cluster-wide mode for backward compatibility.
  warnings.warn("Absence of either namespaces or cluster-wide flag will become an error soon."
[2025-12-26 18:40:19,331] kopf._core.reactor.r [DEBUG   ] Starting Kopf 1.39.1.
[2025-12-26 18:40:19,332] kopf._core.engines.a [INFO    ] Initial authentication has been initiated.
[2025-12-26 18:40:19,332] kopf.activities.auth [DEBUG   ] Activity 'login_with_service_account' is invoked.
[2025-12-26 18:40:19,334] kopf.activities.auth [INFO    ] Activity 'login_with_service_account' succeeded.
[2025-12-26 18:40:19,334] kopf._core.engines.a [INFO    ] Initial authentication has finished.
[2025-12-26 18:40:19,517] kopf._cogs.clients.w [DEBUG   ] Starting the watch-stream for customresourcedefinitions.v1.apiextensions.k8s.io cluster-wide.
[2025-12-26 18:40:19,518] kopf._cogs.clients.w [DEBUG   ] Starting the watch-stream for applications.v1alpha1.cnap.platforms.howlabs.io cluster-wide.
[2025-12-26 18:40:19,519] kopf._cogs.clients.w [ERROR   ] Request attempt #1/9 failed; will retry: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions -> APIForbiddenError('customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'apiextensions.k8s.io', 'kind': 'customresourcedefinitions'}, 'code': 403})
[2025-12-26 18:40:19,519] kopf._cogs.clients.w [ERROR   ] Request attempt #1/9 failed; will retry: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications -> APIForbiddenError('applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'cnap.platforms.howlabs.io', 'kind': 'applications'}, 'code': 403})
[2025-12-26 18:40:20,521] kopf._cogs.clients.w [DEBUG   ] Request attempt #2/9: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions
[2025-12-26 18:40:20,522] kopf._cogs.clients.w [DEBUG   ] Request attempt #2/9: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications
[2025-12-26 18:40:20,524] kopf._cogs.clients.w [ERROR   ] Request attempt #2/9 failed; will retry: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications -> APIForbiddenError('applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'cnap.platforms.howlabs.io', 'kind': 'applications'}, 'code': 403})
[2025-12-26 18:40:20,525] kopf._cogs.clients.w [ERROR   ] Request attempt #2/9 failed; will retry: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions -> APIForbiddenError('customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'apiextensions.k8s.io', 'kind': 'customresourcedefinitions'}, 'code': 403})
[2025-12-26 18:40:21,526] kopf._cogs.clients.w [DEBUG   ] Request attempt #3/9: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications
[2025-12-26 18:40:21,527] kopf._cogs.clients.w [DEBUG   ] Request attempt #3/9: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions
[2025-12-26 18:40:21,531] kopf._cogs.clients.w [ERROR   ] Request attempt #3/9 failed; will retry: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions -> APIForbiddenError('customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'apiextensions.k8s.io', 'kind': 'customresourcedefinitions'}, 'code': 403})
[2025-12-26 18:40:21,532] kopf._cogs.clients.w [ERROR   ] Request attempt #3/9 failed; will retry: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications -> APIForbiddenError('applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'cnap.platforms.howlabs.io', 'kind': 'applications'}, 'code': 403})
[2025-12-26 18:40:23,534] kopf._cogs.clients.w [DEBUG   ] Request attempt #4/9: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions
[2025-12-26 18:40:23,535] kopf._cogs.clients.w [DEBUG   ] Request attempt #4/9: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications
[2025-12-26 18:40:23,538] kopf._cogs.clients.w [ERROR   ] Request attempt #4/9 failed; will retry: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions -> APIForbiddenError('customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'apiextensions.k8s.io', 'kind': 'customresourcedefinitions'}, 'code': 403})
[2025-12-26 18:40:23,540] kopf._cogs.clients.w [ERROR   ] Request attempt #4/9 failed; will retry: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications -> APIForbiddenError('applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'cnap.platforms.howlabs.io', 'kind': 'applications'}, 'code': 403})
[2025-12-26 18:40:26,544] kopf._cogs.clients.w [DEBUG   ] Request attempt #5/9: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions
[2025-12-26 18:40:26,546] kopf._cogs.clients.w [DEBUG   ] Request attempt #5/9: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications
[2025-12-26 18:40:26,549] kopf._cogs.clients.w [ERROR   ] Request attempt #5/9 failed; will retry: GET https://kubernetes.default.svc/apis/apiextensions.k8s.io/v1/customresourcedefinitions -> APIForbiddenError('customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'customresourcedefinitions.apiextensions.k8s.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "customresourcedefinitions" in API group "apiextensions.k8s.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'apiextensions.k8s.io', 'kind': 'customresourcedefinitions'}, 'code': 403})
[2025-12-26 18:40:26,549] kopf._cogs.clients.w [ERROR   ] Request attempt #5/9 failed; will retry: GET https://kubernetes.default.svc/apis/cnap.platforms.howlabs.io/v1alpha1/applications -> APIForbiddenError('applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', {'kind': 'Status', 'apiVersion': 'v1', 'metadata': {}, 'status': 'Failure', 'message': 'applications.cnap.platforms.howlabs.io is forbidden: User "system:serviceaccount:cnap:default" cannot list resource "applications" in API group "cnap.platforms.howlabs.io" at the cluster scope', 'reason': 'Forbidden', 'details': {'group': 'cnap.platforms.howlabs.io', 'kind': 'applications'}, 'code': 403})
